"","source node","dest node","edge weight"
"357","2023","1016","2.11401100188043e-06"
"358","2015","13","9.53354295134751e-07"
"359","2029","12","5.68339066368163e-07"
"360","1020","1009","1.12592024737926e-06"
"361","1030","1016","1.01089599741301e-06"
"362","1025","49","9.60687440582932e-07"
"363","1010","52","2.78198253956441e-06"
"364","1028","1016","6.16712198788712e-07"
"365","2007","1024","5.81526821460741e-07"
"366","2021","10","1.77574708111959e-06"
"367","2015","18","1.12572216401426e-06"
"368","26","17","3.7526664052396e-06"
"369","2023","58","3.51645459886566e-06"
"370","1028","1009","5.22419758684806e-07"
"371","1016","1015","1.24931454009809e-06"
"372","2015","2012","8.23154749899378e-07"
"373","2015","1025","6.60046397569001e-07"
"374","2024","10","9.25771778488156e-07"
"375","1005","13","2.41032395396191e-06"
"376","58","18","8.26193168662843e-06"
"377","1030","1028","5.08207027929853e-07"
"378","2025","13","1.20252042446201e-06"
"379","2026","1023","2.64946677442252e-06"
"380","53","13","3.55179637355009e-06"
"381","2007","52","1.53694205042513e-06"
"382","2011","1029","5.63218634052088e-07"
"383","1027","1008","6.63511782751177e-07"
"384","2011","1011","6.42367581240462e-07"
"385","1021","10","2.42155718565302e-06"
"386","2013","2006","1.59646543101246e-06"
"387","2034","13","6.90306920394388e-06"
"388","54","10","4.28532164242283e-06"
"389","2019","49","3.40184230966661e-06"
"390","2026","52","5.09784353394619e-06"
"391","2016","1013","1.63115230308569e-06"
"392","2025","10","1.2712208974335e-06"
"393","1033","1010","3.19000393054643e-06"
"394","1032","1020","3.59291166130414e-06"
"395","2033","2010","4.01949593113257e-06"
"396","1013","49","1.67487437274698e-06"
"397","2002","50","4.18102477766503e-06"
"398","2005","53","2.62841318762327e-06"
"399","1030","1008","1.00848085802864e-06"
"400","2029","1029","6.02044024640477e-07"
"401","2015","1029","7.50578492310977e-07"
"402","1012","52","2.67803633205191e-06"
"403","2009","1025","1.01792581622694e-06"
"404","2020","2001","3.51597895458076e-06"
"405","50","17","3.63878950575609e-06"
"406","2007","49","1.83444800430114e-06"
"407","1015","17","1.83865084749992e-06"
"408","2010","1007","1.93114063882351e-06"
"409","2010","1011","1.39414128957395e-06"
"410","2009","1029","8.56677343662126e-07"
"411","2030","54","2.05531617765936e-06"
"412","2033","2011","1.67193023640969e-06"
"413","2002","51","5.10316794735551e-06"
"414","2005","1033","3.6207818664738e-06"
"415","2035","53","2.83512723416487e-06"
"416","2035","2028","9.37453082373359e-07"
"417","2030","1007","1.29052084239669e-06"
"418","2025","1021","1.5751967139609e-06"
"419","2022","2003","1.48869229410913e-06"
"420","2008","51","1.5578379213567e-06"
"421","2033","12","5.20084902454641e-06"
"422","2014","10","3.17274461935244e-06"
"423","1015","53","2.19018203060621e-06"
"424","1013","1006","2.50724402968939e-06"
"425","2015","1007","1.36410068779532e-06"
"426","1033","50","5.28622607193362e-06"
"427","2022","49","2.16835836293496e-06"
"428","2033","49","6.12098837550833e-06"
"429","2013","49","2.53995720344118e-06"
"430","2025","2014","1.74041830511296e-06"
"431","1029","52","1.65366461754834e-06"
"432","2007","1010","2.40592922434429e-06"
"433","2020","2014","3.56440094609828e-06"
"434","1031","1018","2.09234715330199e-06"
"435","2033","52","1.05068730172906e-05"
"436","2009","1007","1.81694429080188e-06"
"437","2015","12","2.4529669324042e-06"
"438","1014","1010","4.44028571774957e-06"
"439","2025","2024","1.45506193817539e-06"
"440","2007","1022","1.72367962550812e-06"
"441","1030","10","2.69407603080905e-06"
"442","2011","1008","1.72225258466334e-06"
"443","2025","2015","1.63003972610787e-06"
"444","2030","1025","1.7785669401908e-06"
"445","2002","1020","6.55213233917658e-06"
"446","2028","2009","1.25272655017196e-06"
"447","2007","1008","2.08806345612645e-06"
"448","54","12","9.08529998408393e-06"
"449","2025","1013","1.95900524829036e-06"
"450","2021","53","5.05410248365031e-06"
"451","1026","58","1.09635638401101e-05"
"452","1015","13","3.92235496796265e-06"
"453","54","26","2.06513799734579e-05"
"454","1011","18","2.83985404525698e-06"
"455","1029","18","2.32598794856385e-06"
"456","1031","1020","2.97605062620395e-06"
"457","2019","12","7.84757211404732e-06"
"458","2014","12","5.11108137842599e-06"
"459","2010","1015","3.78765615892605e-06"
"460","2002","11","9.66857922146726e-06"
"461","1024","1015","1.95656059685911e-06"
"462","2027","1014","2.17256099872013e-06"
"463","2013","12","3.82475788588307e-06"
"464","1016","18","1.34066435737629e-05"
"465","53","10","7.74671909777026e-06"
"466","2016","2011","3.21026218305699e-06"
"467","2007","1011","2.0747141633138e-06"
"468","2007","1017","3.52254733471852e-06"
"469","2024","2015","1.94174294779836e-06"
"470","2018","2015","3.19813096673986e-06"
"471","1032","1019","1.44147379447887e-05"
"472","54","13","1.91184585269028e-05"
"473","1028","50","2.18675889751431e-06"
"474","2028","1002","2.22321270632889e-06"
"475","2030","1015","2.572042398411e-06"
"476","2020","1026","7.79439439893566e-06"
"477","1035","1021","5.70573803437221e-06"
"478","2020","13","1.12157176277459e-05"
"479","2019","2018","8.78291377685502e-06"
"480","1024","1009","2.55107020230422e-06"
"481","2011","1010","3.47861621782937e-06"
"482","2021","1015","3.9212790442856e-06"
"483","1026","52","1.28018308589769e-05"
"484","1024","1020","3.18537707261879e-06"
"485","2013","1033","5.26244548947601e-06"
"486","1013","18","5.75943129918987e-06"
"487","2006","1013","5.5405705404639e-06"
"488","1025","51","4.22826475451128e-06"
"489","2014","1032","8.58557497268976e-06"
"490","2017","53","8.12996110880215e-06"
"491","1009","17","5.92014454982432e-06"
"492","2020","2015","4.1301963641236e-06"
"493","2030","1029","2.26935330686362e-06"
"494","2030","52","5.42251251491194e-06"
"495","1005","18","1.00843008535079e-05"
"496","2028","13","2.9138952813144e-06"
"497","1029","51","3.25335920672052e-06"
"498","1009","12","6.16138090221314e-06"
"499","1021","13","1.20963677777666e-05"
"500","1015","49","5.41567912972024e-06"
"501","1015","1005","4.6190995483482e-06"
"502","2028","1032","2.98216991086166e-06"
"503","2028","2001","2.89980773018414e-06"
"504","2010","1033","1.33635092695945e-05"
"505","2017","1025","4.53607591217389e-06"
"506","2034","12","1.61599602143018e-05"
"507","2021","13","1.1162792765858e-05"
"508","2021","1010","8.2768271574399e-06"
"509","2019","11","1.29750250137238e-05"
"510","1025","1009","3.84555651676619e-06"
"511","49","18","1.7458606844184e-05"
"512","1023","1016","1.22622712136711e-05"
"513","1013","10","6.22529904726183e-06"
"514","1003","13","8.71771722794225e-06"
"515","2032","51","1.82232632735402e-05"
"516","1031","1012","4.26799571807947e-06"
"517","1028","49","3.39381925361717e-06"
"518","2034","10","1.95019148350041e-05"
"519","2010","1029","4.01975760174845e-06"
"520","50","12","1.30894832175087e-05"
"521","2026","10","1.55493444308061e-05"
"522","2018","2009","5.92545111848314e-06"
"523","2012","2009","5.03818785962383e-06"
"524","1018","1015","5.9668555781521e-06"
"525","2021","12","1.05442676666018e-05"
"526","2028","1027","2.38942040341596e-06"
"527","2011","1007","4.09773816604649e-06"
"528","2023","11","1.41786419656895e-05"
"529","1008","1005","6.21971493853604e-06"
"530","2023","2014","1.00050294013538e-05"
"531","2022","1025","4.25265411042969e-06"
"532","2009","2003","5.80392285378921e-06"
"533","2035","2006","1.32989739814458e-05"
"534","2026","12","1.75963292144949e-05"
"535","2033","1010","1.80116267195908e-05"
"536","1033","1014","1.46606539461971e-05"
"537","2021","54","1.63350304104586e-05"
"538","2024","2007","4.46496348028239e-06"
"539","2002","12","2.08875413396654e-05"
"540","2015","1033","7.7442487513525e-06"
"541","1026","49","1.79120439034188e-05"
"542","2027","2009","3.99049282373832e-06"
"543","1025","17","7.65548348607011e-06"
"544","52","17","2.49412261317192e-05"
"545","1022","1003","5.59447200487085e-06"
"546","2011","1025","4.764853437416e-06"
"547","1028","51","4.8953297713374e-06"
"548","2021","2012","1.00596361635071e-05"
"549","2026","49","2.17827362104372e-05"
"550","2030","50","8.66745694631039e-06"
"551","2005","52","1.99395873926825e-05"
"552","2035","50","1.42186618947621e-05"
"553","1007","12","1.02225786767909e-05"
"554","53","52","2.7692412927942e-05"
"555","2035","12","1.44070164622326e-05"
"556","1035","1019","1.73031152346517e-05"
"557","2012","1032","1.69288260472019e-05"
"558","1007","10","1.09399774738111e-05"
"559","1030","1019","9.980142459492e-06"
"560","1010","49","2.03733785325078e-05"
"561","51","11","2.26588312491788e-05"
"562","2011","51","8.99066809104651e-06"
"563","1028","52","6.4764318979768e-06"
"564","2010","1021","2.01315602006085e-05"
"565","2033","2013","1.28560390775685e-05"
"566","1014","18","2.43630323507503e-05"
"567","1017","13","2.60825742533335e-05"
"568","2030","2011","6.64438741135591e-06"
"569","2030","1035","9.79984229865427e-06"
"570","2015","2003","9.35991343139042e-06"
"571","2025","12","1.08175266673571e-05"
"572","2029","53","7.6710066152995e-06"
"573","2021","17","2.09821494863178e-05"
"574","2027","13","9.42771758636522e-06"
"575","2035","13","2.49467671509462e-05"
"576","2021","1033","2.4041205258114e-05"
