Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
1008	12	59.6888	6272	111.9962	
2018	2015	59.7360	7753	131.5762	
1030	1019	59.8063	658	11.2311	
1029	1010	60.1868	4013	67.4271	
2029	10	60.6124	6747	111.5414	
1029	50	62.0086	5924	95.6730	
1017	10	64.9197	3575	55.3351	
2025	2015	65.7015	6699	103.4236	
2010	26	66.3931	3032	45.6866	
2011	49	66.6507	6264	95.0094	
2018	2009	67.0824	9697	144.9508	
1024	1008	67.1734	5407	80.9042	
1010	49	69.1072	1217	18.3726	
1027	10	69.3786	5064	73.2270	
1014	17	70.1687	2938	46.9829	
1009	12	70.7346	8688	123.4502	
1033	10	73.8777	4527	61.4416	
1026	13	74.3266	1762	23.7778	
2012	50	75.3466	2637	35.5079	
2014	18	75.7488	2825	37.6680	
1030	1013	77.6508	7201	92.9346	
1008	17	77.9802	6427	82.5701	
2034	2008	78.9368	7392	93.8941	
2026	1028	79.5438	5160	65.1660	
2018	2012	80.5725	1528	19.4950	
2024	2015	81.1242	8419	104.5169	
2032	2019	82.9740	3419	41.3108	
2013	1005	84.9811	1439	20.7575	
1033	12	87.3976	3432	39.9595	
2008	2003	88.0241	7966	90.9138	
2022	2003	88.5530	4730	54.9705	
52	10	88.9004	1982	38.1892	
2010	50	89.1172	2982	35.3665	
58	10	92.0026	1768	19.8344	
2035	10	93.8228	2213	24.4218	
2007	1007	95.1482	7430	80.3715	
26	17	95.8760	11257	118.2991	
2025	53	97.0668	5360	62.7587	
2029	1011	97.9257	15682	160.2835	
2010	1005	98.8620	8531	86.6958	
2032	2028	99.8866	230	22.8211	
2027	2015	100.0953	13354	134.5834	
1014	1002	101.6260	4135	40.9180	
1011	13	102.5273	9805	96.4487	
1029	17	102.7759	8381	82.2967	
1019	1014	103.4222	5094	49.8816	
2021	1011	106.0282	19034	179.8507	
49	26	106.5797	2210	21.0626	
1020	10	107.7734	7912	74.1071	
2010	2005	110.3164	8962	81.9687	
2021	2007	111.8264	10130	105.9288	
2017	1025	112.8329	1895	62.8433	
2021	2015	114.4245	13344	116.9149	
2029	2024	115.8638	7058	61.7130	
1021	17	116.1498	6353	55.3501	
1028	1019	117.8295	6186	53.1067	
1024	1019	118.1030	2063	17.4747	
1024	11	118.6673	6150	57.6119	
1007	49	118.6971	20739	174.8688	
2026	2023	118.8500	8316	70.9360	
2014	1027	118.8814	11002	92.6667	
1010	1002	119.2674	8274	70.1038	
